Pick,Draft Year,Team (Full Name),Team And Draft Year,Team Abbr.,Player,College,Years Played,Games Played,Minutes Played,WS,WS/48,BPM,VORP,College?,WS Percentile,VORP Percentile,WS/48 Percentile,BPM Percentile,Counting Stat Total,Rate Stat Total,Overall Total,Counting Stat Percentile,Rate Stat Percentile,Overall Value Percentile,,,,,,,,,,,,,
1,1985,New York Knicks,New York Knicks: 1985,NYK,Patrick Ewing,Georgetown,17,1183,40594,126.4,0.15,2.9,50.1,Yes,98.8,98.4,93.1,95.9,197.2,189,386.2,98.9,96.5,98.3,,,,,,,,,,,,,
2,1985,Indiana Pacers,Indiana Pacers: 1985,IND,Wayman Tisdale,Oklahoma,12,840,23868,45.7,0.092,-1.6,2.3,Yes,85,64.9,67.4,54.7,149.9,122.1,272,78.5,68,73.5,,,,,,,,,,,,,
3,1985,Los Angeles Clippers,Los Angeles Clippers: 1985,LAC,Benoit Benjamin,Creighton,15,807,21911,32.7,0.072,-1.1,4.8,Yes,77.5,73,51.2,62.4,150.5,113.6,264.1,78.9,63.8,72.3,,,,,,,,,,,,,
4,1985,Seattle SuperSonics,Seattle SuperSonics: 1985,SEA,Xavier McDaniel,Wichita State,12,870,25201,47.8,0.091,-0.5,9.6,Yes,86,82,66.9,70.2,168,137.1,305.1,86.9,75,82,,,,,,,,,,,,,
5,1985,Atlanta Hawks,Atlanta Hawks: 1985,ATL,Jon Koncak,SMU,11,784,16409,29.2,0.085,-1.2,3.3,Yes,75.6,68.5,61.9,60.8,144.1,122.7,266.8,76,68.3,72.6,,,,,,,,,,,,,
6,1985,Sacramento Kings,Sacramento Kings: 1985,SAC,Joe Kleine,Arkansas,15,965,14712,19.1,0.062,-3.9,-7,Yes,64.9,0.1,43.3,24.2,65,67.5,132.5,49.5,28.5,30.4,,,,,,,,,,,,,
7,1985,Golden State Warriors,Golden State Warriors: 1985,GSW,Chris Mullin,St. John's,16,986,32163,93.1,0.139,3.1,41.6,Yes,96.5,97.5,90.5,96.5,194,187,381,97.4,95.9,97.3,,,,,,,,,,,,,
8,1985,Dallas Mavericks,Dallas Mavericks: 1985,DAL,Detlef Schrempf,Washington,16,1136,33597,109.5,0.156,1.8,32.4,Yes,97.7,96,94.8,92.1,193.7,186.9,380.6,97.3,95.8,97.2,,,,,,,,,,,,,
9,1985,Cleveland Cavaliers,Cleveland Cavaliers: 1985,CLE,Charles Oakley,Virginia Union University,19,1282,40280,89.7,0.107,-0.5,15.4,Yes,95.8,88.3,76.5,70.2,184.1,146.7,330.8,93,78.9,87.2,,,,,,,,,,,,,
10,1985,Phoenix Suns,Phoenix Suns: 1985,PHO,Ed Pinckney,Villanova,12,793,15698,42.7,0.13,0.3,9.2,Yes,83.5,81.5,87.8,80,165,167.8,332.8,85.7,87.6,87.8,,,,,,,,,,,,,
11,1985,Chicago Bulls,Chicago Bulls: 1985,CHI,Keith Lee,Memphis,3,182,2907,3.7,0.062,-3,-0.7,Yes,41.5,16.9,43.3,33.8,58.4,77.1,135.5,43.6,33,31.5,,,,,,,,,,,,,
