Team And Year,MOV (PPG),SRS,ORtg,DRtg,NRtg,Win%,Pythagorean Win%,MOV Percentile,SRS Percentile,ORTG Percentile,DRTG Percentile,Net Rating Percentile,Win% Percentile,Pythagorean Win% Percentile
Los Angeles Lakers: 1985,7.35,6.48,114.1,107,7.1,75.6097561,70.73170732,95.6,92.6,100,72.8,92.6,96.2,90.5
Milwaukee Bucks: 1985,6.85,6.69,110.5,103.6,6.9,71.95121951,70.73170732,93.5,93.9,77.2,95.5,92,92.5,90.5
Boston Celtics: 1985,6.65,6.47,112.8,106.3,6.5,76.82926829,69.51219512,92.7,92.5,95.4,86.4,90.2,97.6,88.7
Philadelphia 76ers: 1985,4.1,4.17,111.3,107.3,4,70.73170732,62.19512195,79.6,81.3,86.3,59.1,77.2,91,75.5
Portland Trail Blazers: 1985,3.4,2.8,110.4,107.2,3.2,51.2195122,59.75609756,74.4,71.6,72.7,68.2,71.7,48.5,70.1
Detroit Pistons: 1985,2.49,2.73,109.6,107.2,2.4,56.09756098,57.31707317,68.4,70.8,63.6,68.2,66.2,61.5,63.5
Denver Nuggets: 1985,2.44,2.05,110.7,108.4,2.3,63.41463415,57.31707317,67.9,64.6,81.8,41,64.6,77.4,63.5
Dallas Mavericks: 1985,2.17,1.8,111.5,109.3,2.2,53.65853659,57.31707317,65.1,63.2,90.9,22.8,64,55,63.5
Houston Rockets: 1985,1.72,1.38,107.9,106.3,1.6,58.53658537,54.87804878,62.1,58.9,45.4,86.4,59.4,66.1,57.6
San Antonio Spurs: 1985,0.91,0.63,109.9,109,0.9,50,52.43902439,54.7,53.6,68.1,27.3,53.5,44,51.9
New Jersey Nets: 1985,0.23,0.64,107.9,107.7,0.2,51.2195122,51.2195122,49.5,53.8,45.4,50,48.8,48.5,49.1
Utah Jazz: 1985,-0.11,-0.33,103.3,103.4,-0.1,50,50,47.6,45.6,9,100,47.5,44,47.3
Washington Bullets: 1985,-0.27,0.15,104.3,104.6,-0.3,48.7804878,48.7804878,45.8,49.5,13.6,91,45.2,41.8,43.6
Chicago Bulls: 1985,-0.84,-0.5,108.7,109.6,-0.9,46.34146341,47.56097561,41.4,43.8,54.5,18.2,40.8,37.7,41
Atlanta Hawks: 1985,-1.45,-1.14,105.9,107.3,-1.4,41.46341463,45.12195122,36.4,38.3,31.8,59.1,37,29.8,35.4
Phoenix Suns: 1985,-2.11,-2.34,104.7,106.8,-2.1,43.90243902,42.68292683,32.2,29.8,18.1,77.3,32.2,33.3,31.1
Sacramento Kings: 1985,-2.67,-2.71,109.5,112.1,-2.6,37.80487805,41.46341463,28.8,27.3,59,4.6,30,23.5,29.2
Cleveland Cavaliers: 1985,-2.76,-2.27,106,108.7,-2.7,43.90243902,41.46341463,28.3,30.4,36.3,31.9,29.3,33.3,29.2
Los Angeles Clippers: 1985,-4.49,-4.55,105.8,110.3,-4.5,37.80487805,36.58536585,18.3,17.5,27.2,9.1,19.3,23.5,20.5
New York Knicks: 1985,-4.63,-4.09,104.9,109.6,-4.7,29.26829268,35.36585366,17.8,19.5,22.7,18.2,18.3,10.6,18
Seattle SuperSonics: 1985,-5.44,-5.44,102.8,108.2,-5.4,37.80487805,32.92682927,14.3,13.1,4.5,45.5,15.6,23.5,14.7
Indiana Pacers: 1985,-6.21,-5.46,102.5,108.4,-5.9,26.82926829,31.70731707,11.4,13,0,41,13.1,8,12.9
Golden State Warriors: 1985,-7.34,-7.21,106,113,-7,26.82926829,29.26829268,7,6.7,36.3,0,9.2,8,9.8
Boston Celtics: 1986,9.41,9.06,111.8,102.6,9.2,81.70731707,76.82926829,99.1,99,90.9,100,98.5,99.1,98
Milwaukee Bucks: 1986,9.04,8.69,111.4,102.7,8.7,69.51219512,75.6097561,98.6,98.9,86.3,95.5,97.9,88.4,97.2
Los Angeles Lakers: 1986,7.74,6.84,113.3,105.8,7.5,75.6097561,71.95121951,96.7,94.5,100,72.8,94.5,96.2,92.3
Houston Rockets: 1986,2.61,2.1,110.1,107.6,2.5,62.19512195,58.53658537,69.3,64.8,81.8,41,66.7,75.5,66.5
