Pick Range (Before),Pick Range,WS By Pick,VORP By Pick,Pick Range,Weighing WS By Draft Position and Range,WS Fraction By Draft Range,Weighing VORP By Draft Position and Range,VORP Fraction By Draft Range,Pick,Average Counting Stat Value By Pick,Average Rate Stat Value By Pick,Average Overall Value By Pick,WS Fraction,VORP Fraction,WS/48 Fraction,BPM Fraction,Average WS By Pick,Average VORP By Pick,Average WS/48 By Pick,Average BPM By Pick,Draft Year,Draft Strength (WS),Draft Strength (VORP),Best Draft by WS (As Fraction),Best Draft by VORP (As Fraction),Average Of The Two Metrics By Draft,Weighted Average For the Best Draft
1,1,72.74722222,28.6,1,72.74722222,100,28.6,100,1,84.0611111,83.4555556,84.5583333,100,100,100,100,72.7472222,28.6,0.13177778,1.78888889,1985,32.2847826,8.09130435,100,72.2354097,86.1177049,91.203987
2,2,49.93714286,15.22857143,2,49.93714286,56.24183698,15.22857143,42.86564608,2,77.9,73.2833333,76.0194444,56.241837,42.8656461,58.057084,58.5465426,49.9371429,15.2285714,0.10208571,0.07714286,1986,19.8102041,5.02040816,-9.7501189,-6.9470736,-8.3485963,-8.8416809
3,3,54.925,19.81944444,3,54.925,65.81039053,19.81944444,62.48184208,3,82.0638889,77.8,81.0055556,65.8103905,62.4818421,67.0001676,79.6173073,54.925,19.8194444,0.10841667,0.94722222,1987,28.5068182,8.96363636,66.7618393,94.7283274,80.7450834,85.5140479
4,4,51.28611111,15.93333333,4,51.28611111,58.82965668,15.93333333,45.87700091,4,76.7916667,71.2527778,75.0027778,58.8296567,45.8770009,49.9312887,57.0819871,51.2861111,15.9333333,0.09633333,0.01666667,1988,22.275,5.03653846,11.9349139,-6.5311568,2.70187854,2.86145683
5,5,51.63333333,17.17777778,5,51.63333333,59.49575724,17.17777778,51.19434819,5,75.7111111,70.5555556,73.4583333,59.4957572,51.1943482,49.7743335,55.1984379,51.6333333,17.1777778,0.09622222,-0.0611111,1989,21.4458333,5.50416667,4.63998686,5.5265489,5.08326788,5.38349575
6,6,26.29444444,6.238888889,6,26.29444444,10.88640288,6.238888889,4.453916087,6,59.825,58.8555556,59.3444444,10.8864029,4.45391609,28.1929924,27.8869751,26.2944444,6.23888889,0.08094444,-1.1888889,1990,17.9903846,2.95961539,-25.760712,-60.08423,-42.922471,-45.457557
7,7,37.53611111,10,7,37.53611111,32.45207456,10,20.52464871,7,71.1666667,66.7583333,69.2972222,32.4520746,20.5246487,35.9230364,44.3680303,37.5361111,10,0.08641667,-0.5083333,1991,19.2954546,4.40454546,-14.278835,-22.826978,-18.552907,-19.648678
8,8,28.03611111,6.063888889,8,28.03611111,14.22756328,6.063888889,3.706164126,8,62.6194444,57.9555556,60.7361111,14.2275633,3.70616413,19.0503515,23.6489895,28.0361111,6.06388889,0.07447222,-1.3638889,1992,24.05625,6.16458333,27.6061768,22.555269,25.0807229,26.5620401
9,9,43.94722222,12.47222222,9,43.94722222,44.75095527,12.47222222,31.0881288,9,70.0666667,66.5416667,68.1916667,44.7509553,31.0881288,49.1857515,40.6682016,43.9472222,12.4722222,0.09580556,-0.6611111,1993,20.3883721,4.91860465,-4.6634535,-9.5720581,-7.1177558,-7.5381445
10,10,39.38055556,11.15277778,10,39.38055556,35.99040073,11.15277778,25.45031639,10,72.2638889,66.8194444,69.6694444,35.9904007,25.4503164,41.0633195,42.8880988,39.3805556,11.1527778,0.09005556,-0.5694444,1994,21.1622222,5.98,2.14480411,17.7958223,9.97031322,10.5591797
11-15,11-15,31.69714286,8.82,11-15,27.04831746,12.33260996,7.022492063,7.80214929,11,66.8472222,66.6861111,67.3194444,21.2507753,15.4826641,47.7249469,44.9849887,31.6971429,8.82,0.09477143,-0.4828571,1995,23.4,5.482,21.8325536,4.95498555,13.3937696,14.1848321
11-15,11-15,22.70277778,4.780555556,16-20,18.45388889,-4.154680612,3.697222222,-6.406290966,12,59.2277778,56.6111111,58.0305556,3.9962587,-1.7773503,14.3416953,14.365783,22.7027778,4.78055556,0.07113889,-1.7472222,1996,31.1574468,8.74893617,90.0818102,89.1923231,89.6370667,94.9312093
11-15,11-15,34.58611111,9.7,21-25,19.40698413,-2.326291674,4.228365079,-4.136787463,13,61.9416667,59.0333333,61.0444444,26.7928842,19.2427882,29.2524401,31.1159166,34.5861111,9.7,0.08169444,-1.0555556,1997,21.5957447,5.54042553,5.9588922,6.46147695,6.21018458,6.57697037
11-15,11-15,20.45555556,4.583333333,26-30,16.57708263,-7.755088695,3.172285247,-8.649277551,14,55.825,54.7305556,55.525,-0.3147441,-2.6200548,12.5367104,13.7603565,20.4555556,4.58333333,0.06986111,-1.7722222,1998,24.4821429,6.5125,31.3531404,31.5262351,31.4396878,33.296578
11-15,11-15,25.8,7.228571429,31-40,9.242575539,-21.8253842,1.359927135,-16.39324517,15,54.1222222,52.1166667,53.7222222,9.93787568,8.68269929,14.2262211,15.7169412,25.8,7.22857143,0.07105714,-1.6914286,1999,28.5195652,9.03695652,66.8739865,96.618874,81.7464303,86.5745363
16-20,16-20,17.55,3.886111111,41-50,9.807469653,-20.7417085,1.816323541,-14.44312341,16,55.3388889,53.0194444,54.3666667,-5.8886736,-5.5991936,-12.497645,-10.523974,17.55,3.88611111,0.05213889,-2.775,2000,13.66,1.888,-63.859012,-87.715632,-75.787322,-80.263471
16-20,16-20,19.63333333,4.408333333,51-60,5.953006396,-28.13599367,0.962176902,-18.09277955,17,50.9472222,48.275,50.0388889,-1.8920702,-3.3678068,-2.9233776,3.40083611,19.6333333,4.40833333,0.05891667,-2.2,2001,26.1183674,6.12857143,45.7484831,21.6267088,33.6875959,35.677252
16-20,16-20,22.52222222,5.191666667,,,,,,18,56.9916667,54.4944444,54.8222222,3.64988641,-0.0207266,16.5390682,10.5986847,22.5222222,5.19166667,0.07269444,-1.9027778,2002,17.7333333,3.06666667,-28.022224,-57.323932,-42.673078,-45.193435
16-20,16-20,19.23333333,3.475,,,,,,19,50.1027778,48.7583333,49.6972222,-2.6594181,-7.3558173,-0.451333,3.06448804,19.2333333,3.475,0.06066667,-2.2138889,2003,31.0170213,9.16808511,88.8463601,100,94.42318,100
16-20,16-20,13.33055556,1.525,,,,,,20,51.0722222,47.9138889,48.8944444,-13.983128,-15.687911,-4.2574968,0.50824276,13.3305556,1.525,0.05797222,-2.3194444,2004,24.773913,6.38478261,33.9201059,28.2330661,31.076586,32.9120307
21-25,21-25,21.23055556,4.688888889,,,,,,21,57.7888889,55.3722222,56.0805556,1.17199233,-2.1690299,-5.2777057,3.19902727,21.2305556,4.68888889,0.05725,-2.2083333,2005,24.4309091,6.04181818,30.9023907,19.3897926,25.1460917,26.6312696
21-25,21-25,15.34722222,2.747222222,,,,,,22,48.3361111,49.3416667,49.3194444,-10.114416,-10.465516,10.3785763,4.88076759,15.3472222,2.74722222,0.06833333,-2.1388889,2006,16.6576923,4.14423077,-37.485608,-29.539144,-33.512376,-35.491683
21-25,21-25,18.97428571,2.728571429,,,,,,23,56.4722222,53.1694444,54.3388889,-3.1563672,-10.545208,4.21696329,5.89173377,18.9742857,2.72857143,0.06397143,-2.0971429,2007,23.3836735,6.19183674,21.6889144,23.2579929,22.4734536,23.8007803
21-25,21-25,26.75142857,7.674285714,,,,,,24,55.9722222,55.275,55.6611111,11.7630673,10.5871778,15.194859,21.5290358,26.7514286,7.67428571,0.07174286,-1.4514286,2008,27.5,6.42941177,57.9039517,29.3838206,43.6438861,46.2215804
